fold,epoch,iteration,elapsed_time,train/loss,train/acc,train/acc_cls,train/mean_iu,train/fwavacc,train_total/loss,train_total/acc,train_total/acc_cls,train_total/mean_iu,train_total/fwavacc,train_total/iu_cls,train_total/confusion_matrix,valid/loss,valid/acc,valid/acc_cls,valid/mean_iu,valid/iu_cls,valid/confusion_matrix,valid/fwavacc
0,16,4736,,,,,,,,,,,,[ 0.96135982  0.38254985  0.00782708],,,,,,[ 0.95511879  0.2523026   0.        ],,
0,17,5032,,,,,,,,,,,,[ 0.95791284  0.29292476  0.02977945],,,,,,[ 0.95519815  0.22857663  0.02489801],,
0,18,5328,,,,,,,,,,,,[ 0.95717013  0.38764247  0.00365584],,,,,,[ 0.95286372  0.31755052  0.00240229],,
0,19,5624,,,,,,,,,,,,[ 0.92543431  0.36854876  0.00522013],,,,,,[ 0.90383821  0.26464986  0.00152818],,
0,20,5920,,,,,,,,,,,,[ 0.9549583   0.46712032  0.01883905],,,,,,[ 0.92979584  0.29908293  0.00910194],,
0,21,6216,,,,,,,,,,,,[ 0.9616943   0.48210465  0.04065134],,,,,,[ 0.94524015  0.32170226  0.02682327],,
0,22,6512,,,,,,,,,,,,[ 0.94699508  0.45575174  0.00978134],,,,,,[ 0.93183834  0.32192767  0.01915518],,
0,23,6808,,,,,,,,,,,,[ 0.96365115  0.52162448  0.04203911],,,,,,[ 0.94355157  0.33638295  0.03747665],,
0,24,7104,,,,,,,,,,,,[ 0.95858594  0.50209565  0.07190113],,,,,,[ 0.93834461  0.33181118  0.05495736],,
0,25,7400,,,,,,,,,,,,[ 0.9669046   0.53492467  0.03423902],,,,,,[ 0.94731095  0.32899519  0.03219066],,
0,26,7696,,,,,,,,,,,,[ 0.96957827  0.5211879   0.09487054],,,,,,[ 0.9558098   0.33402852  0.08138092],,
0,27,7992,,,,,,,,,,,,[ 0.96519208  0.5208039   0.10406716],,,,,,[ 0.94959646  0.33109605  0.09364847],,
0,28,8288,,,,,,,,,,,,[ 0.96711914  0.53830667  0.13566638],,,,,,[ 0.94966254  0.34418597  0.12935863],,
0,29,8584,,,,,,,,,,,,[ 0.96764232  0.53231476  0.23409953],,,,,,[ 0.95062876  0.33035603  0.18989434],,
0,30,8880,,,,,,,,,,,,[ 0.97005269  0.55955562  0.1831372 ],,,,,,[ 0.95229009  0.33715431  0.15723646],,
0,31,9176,,,,,,,,,,,,[ 0.95765827  0.50930181  0.20997051],,,,,,[ 0.93552278  0.31758401  0.15798885],,
0,32,9472,,,,,,,,,,,,[ 0.97002644  0.54378629  0.21872106],,,,,,[ 0.95491198  0.3396448   0.17048388],,
0,33,9768,,,,,,,,,,,,[ 0.96954138  0.52244897  0.16423996],,,,,,[ 0.95493802  0.32439182  0.15818376],,
0,34,10064,,,,,,,,,,,,[ 0.96964508  0.56537584  0.21056954],,,,,,[ 0.94789648  0.33076876  0.17618204],,
0,35,10360,,,,,,,,,,,,[ 0.96849453  0.56591439  0.25060385],,,,,,[ 0.94525026  0.32245502  0.18843788],,
0,36,10656,,,,,,,,,,,,[ 0.9704279   0.56157769  0.28678348],,,,,,[ 0.95178714  0.3213971   0.21019525],,
0,37,10952,,,,,,,,,,,,[ 0.96776299  0.5610742   0.27373832],,,,,,[ 0.94415763  0.32590906  0.20515148],,
0,38,11248,,,,,,,,,,,,[ 0.954519    0.50490297  0.2665552 ],,,,,,[ 0.93253102  0.30767363  0.19639844],,
0,39,11544,,,,,,,,,,,,[ 0.96664453  0.56140019  0.23549256],,,,,,[ 0.94453196  0.34540222  0.18205823],,
0,40,11840,,,,,,,,,,,,[ 0.96344008  0.54548598  0.28661497],,,,,,[ 0.93881383  0.32139354  0.19601121],,
0,41,12136,,,,,,,,,,,,[ 0.96904084  0.57691301  0.25145065],,,,,,[ 0.94390547  0.32846631  0.1932751 ],,
0,42,12432,,,,,,,,,,,,[ 0.96968394  0.57532464  0.30555533],,,,,,[ 0.945288    0.31548573  0.20588005],,
0,43,12728,,,,,,,,,,,,[ 0.97212849  0.57252868  0.30544002],,,,,,[ 0.95382037  0.32905862  0.21574355],,
0,44,13024,,,,,,,,,,,,[ 0.96383044  0.55026054  0.32191219],,,,,,[ 0.94046105  0.32718377  0.21491158],,
0,45,13320,,,,,,,,,,,,[ 0.96298359  0.5395229   0.2874342 ],,,,,,[ 0.94526402  0.33230709  0.21144704],,
0,46,13616,,,,,,,,,,,,[ 0.9736754   0.59573809  0.27148644],,,,,,[ 0.95608314  0.34538272  0.19757483],,
0,47,13912,,,,,,,,,,,,[ 0.97016934  0.58563996  0.28989306],,,,,,[ 0.94916715  0.33864288  0.20680887],,
0,48,14208,,,,,,,,,,,,[ 0.96691514  0.57026719  0.28465303],,,,,,[ 0.94279789  0.32575125  0.19539975],,
0,49,14504,,,,,,,,,,,,[ 0.97047823  0.58447578  0.30253904],,,,,,[ 0.95138933  0.33944511  0.22397288],,
0,50,14800,,,,,,,,,,,,[ 0.96612016  0.57397308  0.31489254],,,,,,[ 0.94173567  0.33913917  0.21795889],,
0,51,15096,,,,,,,,,,,,[ 0.97387668  0.604357    0.32798471],,,,,,[ 0.95407097  0.33552557  0.23254993],,
0,52,15392,,,,,,,,,,,,[ 0.97081605  0.59371123  0.3268879 ],,,,,,[ 0.94961665  0.34243822  0.21683738],,
0,53,15688,,,,,,,,,,,,[ 0.96478919  0.5670062   0.32924187],,,,,,[ 0.94208025  0.33249051  0.2221829 ],,
0,54,15984,,,,,,,,,,,,[ 0.97212961  0.60464452  0.31070126],,,,,,[ 0.95199923  0.34762758  0.22736001],,
0,55,16280,,,,,,,,,,,,[ 0.96713495  0.58106278  0.34058939],,,,,,[ 0.94450412  0.3352007   0.23070403],,
0,56,16576,,,,,,,,,,,,[ 0.97230067  0.60592878  0.34528553],,,,,,[ 0.94946829  0.33093215  0.2266419 ],,
0,57,16872,,,,,,,,,,,,[ 0.97349907  0.60489337  0.34453426],,,,,,[ 0.9533369   0.32911372  0.24311348],,
0,58,17168,,,,,,,,,,,,[ 0.97399281  0.61177304  0.34813543],,,,,,[ 0.95563142  0.34636671  0.23444173],,
0,59,17464,,,,,,,,,,,,[ 0.9697178   0.59531892  0.33203185],,,,,,[ 0.94577438  0.33211317  0.23073138],,
0,60,17760,,,,,,,,,,,,[ 0.97058465  0.60004713  0.33263449],,,,,,[ 0.94476862  0.32447465  0.23028911],,
0,61,18056,,,,,,,,,,,,[ 0.96789263  0.5829924   0.35005828],,,,,,[ 0.94334128  0.32588202  0.23966374],,
0,62,18352,,,,,,,,,,,,[ 0.97179153  0.6056542   0.35243869],,,,,,[ 0.94956396  0.33049195  0.24667471],,
0,63,18648,,,,,,,,,,,,[ 0.97536191  0.62341317  0.35014596],,,,,,[ 0.95454128  0.33509612  0.25397514],,
0,64,18944,,,,,,,,,,,,[ 0.97441554  0.60403211  0.35504495],,,,,,[ 0.95439993  0.32398193  0.24760589],,
0,65,19240,,,,,,,,,,,,[ 0.97022135  0.60287248  0.35367441],,,,,,[ 0.94723105  0.34491483  0.23927722],,
0,66,19536,,,,,,,,,,,,[ 0.97312386  0.61673678  0.35426017],,,,,,[ 0.95181774  0.33851883  0.24490837],,
0,67,19832,,,,,,,,,,,,[ 0.97211285  0.60429121  0.35562781],,,,,,[ 0.95055867  0.34244867  0.23755891],,
0,68,20128,,,,,,,,,,,,[ 0.97238568  0.57252476  0.3237828 ],,,,,,[ 0.95158191  0.28888787  0.2394875 ],,
0,69,20424,,,,,,,,,,,,[ 0.97480746  0.61123271  0.35234438],,,,,,[ 0.95504783  0.31930855  0.255128  ],,
0,70,20720,,,,,,,,,,,,[ 0.97182039  0.6154269   0.37001087],,,,,,[ 0.9457854   0.33488182  0.24559311],,
0,71,21016,,,,,,,,,,,,[ 0.97466096  0.6113377   0.35905313],,,,,,[ 0.95377977  0.31583725  0.24732127],,
0,72,21312,,,,,,,,,,,,[ 0.96901032  0.59872323  0.35525519],,,,,,[ 0.94132316  0.3199773   0.2428659 ],,
0,73,21608,,,,,,,,,,,,[ 0.97504241  0.62821682  0.37015777],,,,,,[ 0.95353168  0.33622327  0.25118047],,
0,74,21904,,,,,,,,,,,,[ 0.97551134  0.63816133  0.3736218 ],,,,,,[ 0.952404    0.33571929  0.24412523],,
0,75,22200,,,,,,,,,,,,[ 0.97441244  0.6345653   0.37019176],,,,,,[ 0.94982198  0.33458574  0.24519401],,
0,76,22496,,,,,,,,,,,,[ 0.97447964  0.63026978  0.37872239],,,,,,[ 0.95064677  0.33143591  0.23483265],,
0,77,22792,,,,,,,,,,,,[ 0.97637036  0.64199548  0.37564432],,,,,,[ 0.95265511  0.32301801  0.23098423],,
0,78,23088,,,,,,,,,,,,[ 0.97305662  0.62416098  0.37855655],,,,,,[ 0.94984009  0.34886624  0.24307662],,
0,79,23384,,,,,,,,,,,,[ 0.97562082  0.63898199  0.37477495],,,,,,[ 0.95251626  0.3328549   0.23241291],,
0,80,23680,,,,,,,,,,,,[ 0.97204297  0.61977512  0.38442708],,,,,,[ 0.94637517  0.34016546  0.23875967],,
0,81,23976,,,,,,,,,,,,[ 0.97424516  0.63060803  0.37893063],,,,,,[ 0.94938293  0.32515254  0.25680476],,
0,82,24272,,,,,,,,,,,,[ 0.97262463  0.6274805   0.37350945],,,,,,[ 0.94877611  0.3455958   0.2341605 ],,
0,83,24568,,,,,,,,,,,,[ 0.97323827  0.63310506  0.37767688],,,,,,[ 0.94956531  0.34521063  0.23755491],,
0,84,24864,,,,,,,,,,,,[ 0.97345074  0.62881403  0.38316906],,,,,,[ 0.95068731  0.34247455  0.2445362 ],,
0,85,25160,,,,,,,,,,,,[ 0.97600287  0.64114728  0.38064111],,,,,,[ 0.95308117  0.33145398  0.25514063],,
